title,level,addr,tip,price
越秀公园,4A景区,广东省广州市越秀区环市中路988号,登楼远眺，羊城美景尽收眼底,¥1 起
长隆欢乐世界,5A景区,广东省广州市番禺区长隆旅游度假区内,垂直过山车等挑战你的青春荷尔蒙,¥214 起
广州动物园,4A景区,广东省广州市越秀区先烈中路120号,我国三大城市动物园之一,¥2.5 起
广州文化公园,---,广州市西堤二马路37号,园林文化浓郁、生态环境优美宜人,
广州友谊剧院,---,广东省广州市人民北路698号,广州具有历史感的剧院,
广州长隆酒店白虎餐厅,---,广东省广州市番禺区长隆旅游度假区内,在大饱口福的同时大饱眼福,
长隆水上乐园,5A景区,广东省广州市番禺区迎宾路长隆旅游度假区内,全球必去的水上乐园,
广州旅游观光双层巴士,---,广东省广州市越秀区北京路步行街南（北京南路仰忠汇西北出口）,乘坐观光巴士，了解广府文化,
蜘蛛侠栈道,---,广州市海珠区新港中艺苑路(近珠江南岸),漫步空中，观赏羊城美景,
广州塔速降体验,---,广东省广州市海珠区新港中艺苑路,难道真的存在与现实相同的另一个世界,
488Deck云霄平台,---,广东省广州市海珠区新港中艺苑路,居高临下，可360度无障碍俯瞰羊城全貌,
广州长隆熊猫酒店熊猫餐厅,---,广东省广州市番禺区番禺大道长隆旅游度假区熊猫酒店内,尝美食，赏美景,
碧桂园故乡里,4A景区,广东省广州市花都区山前大道碧桂园假日半岛,逼真再现清末民初祖辈生活的场景,¥55.2 起
从化五指山景区,---,广东省广州从化市良口镇五指山景区,一网打尽五指山4大特色景观,¥31 起
长隆国际大马戏剧院,---,广东省广州市番禺区迎宾路长隆欢乐世界东门侧,汇粹全球马戏精华,
珠江夜游西堤码头,---,广东省广州市越秀区沿江西路49号,华灯初上的时候，在西堤码头，看潮起潮落,
长隆飞鸟乐园,---,广东省广州市番禺市大石镇大边村石北大道,长隆飞鸟乐园，一个真正看鸟飞的地方,
九龙湖,4A景区,广东省广州市花都区花东镇九龙湖度假区,群山环抱，水势浩淼，湖光山色相互映辉,¥33.9 起
大丰门漂流,---,广东省广州增城市派潭镇高滩村,风光原始的峡谷漂流,¥39.9 起
圆玄道观,---,广东省广州市花都区新华镇迎宾大道西38号,仿古建筑别具风格，富有道教特色,¥2 起
广州番禺莲花山,4A景区,广东省广州市番禺区西门路莲花山镇莲花山旅游区,莲花山上莲花塔，莲花塔上有观音,¥1.5 起
石头记矿物园,4A景区,广东省广州市花都区珠宝城大观路1号,在石头的世界慢慢品味冠古绝今的石宴大全,¥29.9 起
