nid,pid,title,raw_title,detail_url,view_price,view_fee,item_loc,view_sales,comment_count,user_id,nick
610041391219,,上海中兴守护宝F6S正品4G全网通学生价游戏手机全面水滴大屏安卓八核128G智能手机双卡电信指纹拍照老人手机,4G全网通水滴全面屏老人学生价游戏智能手机,https://click.simba.taobao.com/cc_im?p\u003d%CA%D6%BB%FA\u0026s\u003d1220913670\u0026k\u003d513\u0026e\u003d7LAbdz6amNb%2F2fT2xSlAWs6C%2BtVGEyi%2BpERJMA3OUCAr0B93Kz18GMhXOQGu8qcVz%2FqPvEf8LuJU8IGfv6r8RLTxDZP5KfP5t0yIwaKJkp%2BuzxW1DlKHKKqBB9PP8reM%2FtuOHY5601XhNNCFRqgMzyZ9cZWAeL3ZAk23tA5DNso1X24hcFm02i67uXSPdnMiHQXin1E7lEC5e00lErynv4XkHTKaLwpa9cysLH2LYcpeBdSytBV%2BGeA4PzVM6jK4eMK9klamPLHuMMvb0jUP9JfBZUs%2B5E8qBaXZ6nkyYuWVp4xRx5NhBcxO9UwoXTXSfIMh3Tkh5WZW1MSxf1P4LnH516K3zoTlcHH1olZPxdSwrzIiwQnh1gnPvuu4GOWSMRdbdyOG9JQMGOilEq9KJJ8Yavv7QqtpipJ1U6K%2BrQcNbwJalDZEonjCvZJWpjyx8i5h0RSist7k2eKkCnp%2FAIuFjfurybPi5pGmfWrf%2Bpeppb%2FVKuYP5Tl1O7CBq9jS,388.00,0.00,广东 深圳,7000+人付款,,2201702082835,守护宝大秦先锋专卖店
610369404385,,【拍立减150元】华为HONOR 荣耀20手机正品全面屏超广角AI四摄,【拍立减150元】华为HONOR 荣耀20手机正品全面屏超广角AI四摄,//detail.tmall.com/item.htm?id\u003d610369404385\u0026ad_id\u003d\u0026am_id\u003d\u0026cm_id\u003d140105335569ed55e27b\u0026pm_id\u003d\u0026abbucket\u003d13,2499.00,5.00,上海,541人付款,1314,725677994,天猫超市
610366340624,,【拍立减280元】华为HONOR荣耀9X手机麒麟810芯片升降全面9X官方,【拍立减280元】华为HONOR荣耀9X手机麒麟810芯片升降全面9X官方,//detail.tmall.com/item.htm?id\u003d610366340624\u0026ad_id\u003d\u0026am_id\u003d\u0026cm_id\u003d140105335569ed55e27b\u0026pm_id\u003d\u0026abbucket\u003d13,1799.00,5.00,上海,2159人付款,1055,725677994,天猫超市
607826182160,,【优惠300元 12期免息】华为旗下荣耀V30双模5G麒麟990旗舰芯片李现同款PRO拍照手机官方V20全新,【优惠300元 12期免息】华为旗下荣耀V30双模5G麒麟990旗舰芯片李现同款PRO拍照手机官方V20全新,//detail.tmall.com/item.htm?id\u003d607826182160\u0026ns\u003d1\u0026abbucket\u003d13,2999.00,0.00,广东 深圳,7000+人付款,16551,1114511827,荣耀官方旗舰店
598079959720,,【低至1199元 128GB版送车充】华为旗下荣耀手机荣耀9X麒麟810芯片4800万超清双摄智能手机官方旗舰店正品,【低至1199元 128GB版送车充】华为旗下荣耀手机荣耀9X麒麟810芯片4800万超清双摄智能手机官方旗舰店正品,//detail.tmall.com/item.htm?id\u003d598079959720\u0026ns\u003d1\u0026abbucket\u003d13,1199.00,0.00,广东 深圳,4.5万+人付款,219006,1114511827,荣耀官方旗舰店
612397649045,,【敬请期待 5G折叠屏旗舰新品】Huawei/华为Mate Xs5G超级快充四摄智能手机官方旗舰店matexs,【敬请期待 5G折叠屏旗舰新品】Huawei/华为Mate Xs5G超级快充四摄智能手机官方旗舰店matexs,//detail.tmall.com/item.htm?id\u003d612397649045\u0026ns\u003d1\u0026abbucket\u003d13,16999.00,0.00,广东 深圳,2405人付款,790,2838892713,华为官方旗舰店
603330883901,,【200优惠券+12期免息】Huawei/华为Mate30 Pro超感光电影四摄超级快充徕卡4G智能手机官方旗舰店,【200优惠券+12期免息】Huawei/华为Mate30 Pro超感光电影四摄超级快充徕卡4G智能手机mate30pro官方旗舰店,//detail.tmall.com/item.htm?id\u003d603330883901\u0026ns\u003d1\u0026abbucket\u003d13,5399.00,0.00,广东 深圳,950人付款,23366,2838892713,华为官方旗舰店
612250162636,,Xiaomi/小米手机小米10手机骁龙865 1亿像素双模5G官方正品,Xiaomi/小米手机小米10手机骁龙865 1亿像素双模5G官方正品,//detail.tmall.com/item.htm?id\u003d612250162636\u0026ns\u003d1\u0026abbucket\u003d13,3999.00,5.00,上海,285人付款,52,725677994,天猫超市
615513069062,,【新品上市 立即预约锁定10重好礼】vivo iQOO Neo3 5G旗舰新品4月23日发布加购抽奖赢手机,【新品上市 立即预约锁定10重好礼】vivo iQOO Neo3 5G旗舰新品4月23日发布加购抽奖赢手机vivoiqooiqooneo3,//detail.tmall.com/item.htm?id\u003d615513069062\u0026ns\u003d1\u0026abbucket\u003d13,99999.00,0.00,江苏 南京,0人付款,,2616970884,苏宁易购官方旗舰店
613489312787,,【新品上市24期免息】vivo S6新品双模5G智能新款手机官方旗舰店官网正品vivos6全新限量版x30 x27 s5 pro,【新品上市24期免息】vivo S6新品双模5G智能新款手机官方旗舰店官网正品vivos6全新限量版x30 x27 s5 pro,//detail.tmall.com/item.htm?id\u003d613489312787\u0026ns\u003d1\u0026abbucket\u003d13,2698.00,0.00,广东 东莞,1.0万+人付款,1806,883737303,vivo官方旗舰店
